ID;REGIAO;MUNICIPIO/BAIRRO;OPM ;RISP;AISP
292510;Interior;Poções;79ª CIPM - Poções;Sudoeste;Sudoeste Baiano
292520;RMS;Pojuca;32ª CIPM - Pojuca;RMS;25 - Pojuca
292525;Interior;Ponto Novo;6º BPM - Senhor do Bonfim;Norte;Piemonte Norte do Itapicuru
292530;Interior;Porto Seguro;8º BPM - Porto Seguro;Extremo Sul;Costa do Descobrimento
292540;Interior;Potiraguá;8ª CIPM - Itapetinga;Sul;Médio Sudoeste da Bahia
292550;Interior;Prado;88ª CIPM - Alcobaça;Extremo Sul;Extremo Sul
292560;Interior;Presidente Dutra;7º BPM - Irecê;Meio-Oeste;Irecê
292570;Interior;Presidente Jânio Quadros;79ª CIPM - Poções;Sudoeste;Sudoeste Baiano
292575;Interior;Presidente Tancredo Neves;60ª CIPM - Gandu;Recôncavo;Baixo Sul
292580;Interior;Queimadas;16º BPM - Serrinha;Nordeste;Sisal
292590;Interior;Quijingue;16º BPM - Serrinha;Nordeste;Sisal
292593;Interior;Quixabeira;91ª CIPM - Capim Grosso;Chapada;Bacia do Jacuípe
292595;Interior;Rafael Jambeiro;11º BPM - Itaberaba;Chapada;Piemonte do Paraguaçu
292600;Interior;Remanso;25ª CIPM - Casa Nova;Norte;Sertão do São Francisco
292610;Interior;Retirolândia;16º BPM - Serrinha;Nordeste;Sisal
292620;Interior;Riachão Das Neves;86ª CIPM - Formosa do Rio Preto;Oeste;Bacia do Rio Grande
292630;Interior;Riachão Do Jacuípe;90ª CIPM - Riachão do Jacuípe;Chapada;Bacia do Jacuípe
292640;Interior;Riacho De Santana;38ª CIPM - Bom Jesus da Lapa;Meio-Oeste;Velho Chico
292650;Interior;Ribeira Do Amparo;21ª CIPM - Cipó;Nordeste;Semiárido
292660;Interior;Ribeira Do Pombal;21ª CIPM - Cipó;Nordeste;Semiárido
292665;Interior;Ribeirão Do Largo;80ª CIPM - Cândido Sales;Sudoeste;Sudoeste Baiano
292670;Interior;Rio De Contas;46ª CIPM - Livramento de Nossa Senhora;Sudoeste;Sertão Produtivo
292680;Interior;Rio Do Antônio;24º BPM - Brumado;Sudoeste;Sertão Produtivo
292690;Interior;Rio Do Pires;4ª CIPM - Macaúbas;Meio-Oeste;Bacia do Paramirim
292700;Interior;Rio Real;6ª CIPM - Rio Real;Leste;Litoral Norte Agreste Baiano
292710;Interior;Rodelas;20º BPM - Paulo Afonso;Nordeste;Itaparica
292720;Interior;Ruy Barbosa;11º BPM - Itaberaba;Chapada;Piemonte do Paraguaçu
292730;RMS;Salinas Da Margarida;23º BPM - Vera Cruz;Recôncavo;Recôncavo
292750;Interior;Santa Bárbara;66ª CIPM - Feira de Santana;Leste;Portal do Sertão
292760;Interior;Santa Brígida;20º BPM - Paulo Afonso;Nordeste;Itaparica
292770;Interior;Santa Cruz Cabrália;8º BPM - Porto Seguro;Extremo Sul;Costa do Descobrimento
